Threshold,Delete Count,Modules Deleted,sarif_precision,sarif_recall,sarif_f1,sarif_doc_file,sarif_impl_file,precision,recall,f1,doc_file,impl_file
80,0,,0.34218289,0.33333333,0.33770015,348,339,1,0.21264368,0.3507109,348,74
80,1,"Client,module type:Administrative,",0.3480826,0.30412371,0.32462173,388,339,1,0.22938144,0.37316562,388,89
80,1,"Common, :Utility,",0.71976401,0.48995984,0.58303465,498,339,1,0.19678715,0.32885906,498,98
80,1,"Storage, :Data Access,",0.45012788,0.43243243,0.44110276,407,391,0.99224806,0.31449631,0.47761194,407,129
80,1,"Logic, :Business Logic,",0.52463768,0.43198091,0.47382199,419,345,0.99159664,0.28162291,0.43866171,419,119
80,1,"Test Driver, :,",0.75167785,0.30684932,0.43579767,365,149,1,0.1890411,0.31797235,365,69
80,1,"E2E (End-to-End), :,",0.35693215,0.25690021,0.29876543,471,339,1,0.18471338,0.31182796,471,87
80,2,"Client,module type:Administrative,,Test Driver, :,",0.75167785,0.27654321,0.40433213,405,149,1,0.17530864,0.29831933,405,71
80,2,"Logic, :Business Logic,,Test Driver, :,",0.91612903,0.32568807,0.48054146,436,155,0.97674419,0.19266055,0.32183908,436,86
80,2,"Common, :Utility,,Test Driver, :,",0.83221477,0.2407767,0.37349398,515,149,1,0.16893204,0.28903654,515,87
80,2,"Common, :Utility,,Storage, :Data Access,",0.7826087,0.58168761,0.66735324,557,414,0.96035242,0.39138241,0.55612245,557,227
80,2,"Test Driver, :,,E2E (End-to-End), :,",0.85820896,0.47131148,0.60846561,488,268,0.99431818,0.35860656,0.52710843,488,176
80,2,"Common, :Utility,,E2E (End-to-End), :,",0.73451327,0.40096618,0.51875,621,339,1,0.14492754,0.25316456,621,90
80,2,"Common, :Utility,,Logic, :Business Logic,",0.89855072,0.54481547,0.67833698,569,345,1,0.20035149,0.33382138,569,114
80,2,"Client,module type:Administrative,,E2E (End-to-End), :,",0.36283186,0.2407045,0.28941176,511,339,1,0.14285714,0.25,511,73
80,2,"Client,module type:Administrative,,Common, :Utility,",0.72566372,0.45724907,0.56100342,538,339,1,0.18401487,0.31083203,538,99
80,2,"Client,module type:Administrative,,Logic, :Business Logic,",0.53043478,0.39869281,0.45522388,459,345,1,0.1503268,0.26136364,459,69
80,3,"Common, :Utility,,Logic, :Business Logic,,Test Driver, :,",1,0.26450512,0.41835358,586,155,1,0.18600683,0.31366906,586,109
80,3,"Client,module type:Administrative,,Common, :Utility,,Test Driver, :,",0.83221477,0.22342342,0.35227273,555,149,1,0.12972973,0.22966507,555,72
80,3,"Common, :Utility,,Test Driver, :,,E2E (End-to-End), :,",0.90671642,0.38087774,0.53642384,638,268,1,0.26489028,0.41883519,638,169
80,3,"Common, :Utility,,Storage, :Data Access,,Logic, :Business Logic,",0.94285714,0.63057325,0.75572519,628,420,0.97394137,0.47611465,0.63957219,628,307
80,3,"Storage, :Data Access,,Test Driver, :,,E2E (End-to-End), :,",0.871875,0.51005484,0.64359862,547,320,0.99009901,0.36563071,0.53404539,547,202
80,3,"Client,module type:Administrative,,Storage, :Data Access,,E2E (End-to-End), :,",0.51515152,0.3877193,0.44244244,570,429,0.99145299,0.20350877,0.33770015,570,117
80,3,"Common, :Utility,,Logic, :Business Logic,,E2E (End-to-End), :,",0.91304348,0.45520231,0.6075217,692,345,0.99122807,0.1632948,0.28039702,692,114
80,3,"Client,module type:Administrative,,Common, :Utility,,E2E (End-to-End), :,",0.74041298,0.37972769,0.502,661,339,1,0.15733737,0.27189542,661,104
80,3,"Common, :Utility,,Storage, :Data Access,,Test Driver, :,",0.8236715,0.59407666,0.6902834,574,414,0.79189189,0.51045296,0.62076271,574,370
80,3,"Client,module type:Administrative,,Common, :Utility,,Logic, :Business Logic,",0.90434783,0.51231527,0.65408805,609,345,1,0.136289,0.23988439,609,83
